authfull	inst_name	cntry	np6024	firstyr	lastyr	rank (ns)	nc2424 (ns)	h24 (ns)	hm24 (ns)	nps (ns)	ncs (ns)	cpsf (ns)	ncsf (ns)	npsfl (ns)	ncsfl (ns)	c (ns)	npciting (ns)	cprat (ns)	np6024 cited2424 (ns)	self%	rank	nc2424	h24	hm24	nps	ncs	cpsf	ncsf	npsfl	ncsfl	c	npciting	cprat	np6024 cited2424	np6024_rw	nc2424_to_rw	nc2424_rw	sm-subfield-1	sm-subfield-1-frac	sm-subfield-2	sm-subfield-2-frac	sm-field	sm-field-frac	rank sm-subfield-1	rank sm-subfield-1 (ns)	sm-subfield-1 count
Breiman, Leo	University of California, Berkeley	usa	57	1960	2018	15	18520	15	13.75	41	17221	53	18467	54	18512	4.973234044885965	16925	1.09423929098966	32	0.0	16	18520	15	13.75	41	17221	53	18467	54	18512	4.958464738631592	16925	1.09423929098966	32	0	0	10	Statistics & Probability	0.375	Artificial Intelligence & Image Processing	0.2142857142857143	Mathematics & Statistics	0.4642857142857143	1	1	23594
Karniadakis, George Em	Brown University	usa	765	1986	2025	281	14167	47	21.6508658008658	9	16	29	1508	637	13077	4.330411733726191	6755	2.097261287934863	489	0.04849999999999999	293	14889	48	22.30086580086579	9	16	29	1533	637	13673	4.334443131150941	6847	2.17452899079889	503	0	0	0	Applied Mathematics	0.2810457516339869	Fluids & Plasmas	0.1124183006535948	Mathematics & Statistics	0.3908496732026144	1	1	22433
Tibshirani, Robert John	Stanford University	usa	421	1982	2025	17	13860	44	20.54293766265567	18	4244	42	4988	206	10381	4.956055794144673	11709	1.183704842428901	321	0.0206	18	14151	46	20.89169647164749	18	4245	42	4989	206	10405	4.954286858556047	11893	1.189859581266291	322	0	0	4	Statistics & Probability	0.3539192399049881	Oncology & Carcinogenesis	0.09026128266033254	Mathematics & Statistics	0.3942992874109263	2	2	23594
Hastie, Trevor J.	Stanford University	usa	290	1979	2025	218	11317	42	20.57324846339108	7	131	50	1377	129	4740	4.383550975062117	9859	1.147885181052845	215	0.0133	236	11470	43	20.90658179672441	7	131	50	1388	129	4765	4.377513440669151	9971	1.150335974325544	218	0	0	0	Statistics & Probability	0.3344827586206897	Artificial Intelligence & Image Processing	0.1206896551724138	Mathematics & Statistics	0.3827586206896552	8	8	23594
White, Ian R.	University College London	gbr	417	1991	2025	539	11136	37	14.02599528972561	14	126	66	1274	162	2286	4.182451122106519	10158	1.096278795038393	288	0.0383	565	11579	37	14.93225354984011	14	126	66	1293	162	2366	4.189941498860931	10406	1.112723428791082	301	0	0	2	Statistics & Probability	0.342925659472422	General & Internal Medicine	0.1678657074340528	Mathematics & Statistics	0.4052757793764988	12	12	23594
Bowden, Jack M.	University of Exeter	gbr	128	2005	2025	1010	11125	28	9.112974570628845	2	11	31	6184	52	7368	4.028402977590112	4964	2.241136180499597	107	0.0158	1138	11304	29	9.112974570628845	2	11	31	6207	52	7412	4.024402380611608	5032	2.246422893481717	107	0	0	7	Statistics & Probability	0.3359375	Epidemiology	0.1484375	Mathematics & Statistics	0.3359375	20	20	23594
Bates, Douglas M.	School of Computer, Data & Information Sciences	usa	39	1981	2025	9631	10635	9	4.483333333333333	4	0	19	9690	33	10614	3.451094614639999	10200	1.042647058823529	23	0.0004	11027	10639	9	4.483333333333333	4	0	19	9690	33	10616	3.441263629071467	10202	1.042834738286611	23	0	0	0	Statistics & Probability	0.5897435897435898	Dairy & Animal Science	0.1025641025641026	Mathematics & Statistics	0.6410256410256411	74	69	23594
Rubin, Donald B.	Harvard University	usa	313	1967	2025	41	9906	32	23.58333333333333	90	2221	118	2428	271	9804	4.756336312135986	7931	1.249022821838356	170	0.0067	42	9973	32	23.58333333333333	90	2223	118	2430	271	9865	4.739933610305311	7942	1.255729035507429	173	0	0	2	Statistics & Probability	0.4469453376205788	Social Sciences Methods	0.07717041800643087	Mathematics & Statistics	0.5691318327974276	3	3	23594
Friedman, Jerome H.	Stanford University	usa	105	1965	2024	60	9371	21	12.79761904761905	18	4668	52	7493	69	7689	4.668329076625564	8458	1.1079451406952	54	0.0009	63	9379	21	12.96428571428572	18	4668	52	7494	69	7693	4.656825815202055	8463	1.108235850171334	54	0	0	4	Statistics & Probability	0.3904761904761905	Nuclear & Particle Physics	0.2	Mathematics & Statistics	0.4761904761904762	4	4	23594
Gelman, Andrew E.	Columbia University	usa	344	1987	2025	83	8581	38	18.61154401154401	79	617	183	4143	249	5633	4.587835670850397	6230	1.377367576243981	228	0.0133	93	8697	38	18.62039356906613	79	623	183	4174	249	5689	4.574842882247174	6265	1.388188347964884	235	0	0	1	Statistics & Probability	0.3947368421052632	Political Science & Public Administration	0.0847953216374269	Mathematics & Statistics	0.47953216374269	5	5	23594
